Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	4096
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	4191
Lower Discriminator:	54
Calibration Coefficients:	2.2342600404810295E-8	3.3189159936103634E-4	0.056015498354152066
Calibration Channels:	1266	3054	1952
Calibration Energies:	0.512	1.278	0.789
Elapsed Real Time:	1347.69
Elapsed Live Time:	1322.1
Start Time:	April 23, 2026, 03:07:41
End Time:	April 23, 2026, 03:30:09
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	0
1	1.0	0
2	2.0	0
3	3.0	0
4	4.0	0
5	5.0	0
6	6.0	0
7	7.0	0
8	8.0	1
9	9.0	1
10	10.0	0
11	11.0	3
12	12.0	3
13	13.0	5
14	14.0	68
15	15.0	68
16	16.0	42
17	17.0	59
18	18.0	43
19	19.0	52
20	20.0	47
21	21.0	47
22	22.0	72
23	23.0	104
24	24.0	117
25	25.0	123
26	26.0	163
27	27.0	462
28	28.0	1273
29	29.0	863
30	30.0	1150
31	31.0	1632
32	32.0	10090
33	33.0	31795
34	34.0	8194
35	35.0	7165
36	36.0	17969
37	37.0	39955
38	38.0	8301
39	39.0	724
40	40.0	323
41	41.0	126
42	42.0	57
43	43.0	39
44	44.0	65
45	45.0	76
46	46.0	65
47	47.0	74
48	48.0	77
49	49.0	65
50	50.0	90
51	51.0	82
52	52.0	79
53	53.0	90
54	54.0	93
55	55.0	96
56	56.0	94
57	57.0	97
58	58.0	87
59	59.0	74
60	60.0	74
61	61.0	63
62	62.0	45
63	63.0	46
64	64.0	46
65	65.0	48
66	66.0	42
67	67.0	45
68	68.0	50
69	69.0	50
70	70.0	32
71	71.0	53
72	72.0	59
73	73.0	56
74	74.0	45
75	75.0	49
76	76.0	49
77	77.0	50
78	78.0	34
79	79.0	47
80	80.0	48
81	81.0	53
82	82.0	42
83	83.0	52
84	84.0	42
85	85.0	48
86	86.0	42
87	87.0	54
88	88.0	46
89	89.0	53
90	90.0	69
91	91.0	64
92	92.0	62
93	93.0	54
94	94.0	53
95	95.0	42
96	96.0	59
97	97.0	53
98	98.0	56
99	99.0	69
100	100.0	74
101	101.0	73
102	102.0	59
103	103.0	53
104	104.0	64
105	105.0	67
106	106.0	70
107	107.0	71
108	108.0	82
109	109.0	106
110	110.0	108
111	111.0	115
112	112.0	128
113	113.0	128
114	114.0	161
115	115.0	497
116	116.0	896
117	117.0	862
118	118.0	632
119	119.0	653
120	120.0	502
121	121.0	157
122	122.0	87
123	123.0	57
124	124.0	67
125	125.0	65
126	126.0	57
127	127.0	72
128	128.0	57
129	129.0	70
130	130.0	73
131	131.0	86
132	132.0	75
133	133.0	72
134	134.0	85
135	135.0	86
136	136.0	60
137	137.0	73
138	138.0	75
139	139.0	56
140	140.0	87
141	141.0	59
142	142.0	61
143	143.0	67
144	144.0	76
145	145.0	76
146	146.0	73
147	147.0	62
148	148.0	78
149	149.0	68
150	150.0	73
151	151.0	71
152	152.0	67
153	153.0	71
154	154.0	59
155	155.0	82
156	156.0	87
157	157.0	58
158	158.0	74
159	159.0	79
160	160.0	66
161	161.0	69
162	162.0	91
163	163.0	79
164	164.0	71
165	165.0	76
166	166.0	74
167	167.0	83
168	168.0	79
169	169.0	75
170	170.0	75
171	171.0	66
172	172.0	74
173	173.0	78
174	174.0	75
175	175.0	66
176	176.0	77
177	177.0	73
178	178.0	66
179	179.0	67
180	180.0	66
181	181.0	58
182	182.0	74
183	183.0	48
184	184.0	63
185	185.0	71
186	186.0	78
187	187.0	73
188	188.0	79
189	189.0	69
190	190.0	71
191	191.0	95
192	192.0	68
193	193.0	86
194	194.0	66
195	195.0	78
196	196.0	66
197	197.0	71
198	198.0	88
199	199.0	81
200	200.0	73
201	201.0	71
202	202.0	61
203	203.0	79
204	204.0	75
205	205.0	64
206	206.0	71
207	207.0	68
208	208.0	58
209	209.0	92
210	210.0	81
211	211.0	79
212	212.0	87
213	213.0	76
214	214.0	88
215	215.0	82
216	216.0	77
217	217.0	87
218	218.0	77
219	219.0	76
220	220.0	86
221	221.0	80
222	222.0	83
223	223.0	91
224	224.0	73
225	225.0	62
226	226.0	92
227	227.0	83
228	228.0	68
229	229.0	82
230	230.0	86
231	231.0	84
232	232.0	83
233	233.0	90
234	234.0	93
235	235.0	92
236	236.0	85
237	237.0	73
238	238.0	80
239	239.0	89
240	240.0	98
241	241.0	95
242	242.0	82
243	243.0	96
244	244.0	100
245	245.0	84
246	246.0	81
247	247.0	84
248	248.0	86
249	249.0	83
250	250.0	87
251	251.0	98
252	252.0	85
253	253.0	81
254	254.0	93
255	255.0	90
256	256.0	93
257	257.0	82
258	258.0	112
259	259.0	104
260	260.0	93
261	261.0	95
262	262.0	84
263	263.0	75
264	264.0	94
265	265.0	90
266	266.0	83
267	267.0	89
268	268.0	85
269	269.0	106
270	270.0	91
271	271.0	87
272	272.0	84
273	273.0	87
274	274.0	103
275	275.0	98
276	276.0	98
277	277.0	94
278	278.0	97
279	279.0	79
280	280.0	86
281	281.0	103
282	282.0	105
283	283.0	97
284	284.0	115
285	285.0	98
286	286.0	99
287	287.0	99
288	288.0	86
289	289.0	119
290	290.0	114
291	291.0	93
292	292.0	98
293	293.0	95
294	294.0	97
295	295.0	115
296	296.0	105
297	297.0	105
298	298.0	127
299	299.0	113
300	300.0	94
301	301.0	104
302	302.0	100
303	303.0	86
304	304.0	120
305	305.0	117
306	306.0	122
307	307.0	106
308	308.0	117
309	309.0	115
310	310.0	123
311	311.0	119
312	312.0	103
313	313.0	107
314	314.0	99
315	315.0	121
316	316.0	123
317	317.0	112
318	318.0	96
319	319.0	107
320	320.0	106
321	321.0	116
322	322.0	116
323	323.0	115
324	324.0	124
325	325.0	122
326	326.0	107
327	327.0	118
328	328.0	122
329	329.0	123
330	330.0	108
331	331.0	114
332	332.0	112
333	333.0	110
334	334.0	118
335	335.0	127
336	336.0	114
337	337.0	137
338	338.0	126
339	339.0	133
340	340.0	126
341	341.0	133
342	342.0	125
343	343.0	133
344	344.0	158
345	345.0	131
346	346.0	129
347	347.0	152
348	348.0	129
349	349.0	135
350	350.0	131
351	351.0	124
352	352.0	153
353	353.0	166
354	354.0	132
355	355.0	140
356	356.0	151
357	357.0	125
358	358.0	145
359	359.0	164
360	360.0	136
361	361.0	167
362	362.0	165
363	363.0	158
364	364.0	128
365	365.0	147
366	366.0	162
367	367.0	158
368	368.0	172
369	369.0	169
370	370.0	149
371	371.0	185
372	372.0	181
373	373.0	160
374	374.0	181
375	375.0	165
376	376.0	188
377	377.0	184
378	378.0	151
379	379.0	173
380	380.0	173
381	381.0	173
382	382.0	157
383	383.0	171
384	384.0	163
385	385.0	170
386	386.0	168
387	387.0	169
388	388.0	179
389	389.0	192
390	390.0	191
391	391.0	158
392	392.0	159
393	393.0	176
394	394.0	170
395	395.0	199
396	396.0	193
397	397.0	200
398	398.0	197
399	399.0	172
400	400.0	181
401	401.0	196
402	402.0	158
403	403.0	207
404	404.0	180
405	405.0	182
406	406.0	205
407	407.0	200
408	408.0	184
409	409.0	170
410	410.0	185
411	411.0	193
412	412.0	179
413	413.0	208
414	414.0	182
415	415.0	179
416	416.0	195
417	417.0	209
418	418.0	176
419	419.0	177
420	420.0	188
421	421.0	176
422	422.0	201
423	423.0	172
424	424.0	179
425	425.0	175
426	426.0	185
427	427.0	179
428	428.0	177
429	429.0	183
430	430.0	195
431	431.0	174
432	432.0	168
433	433.0	164
434	434.0	195
435	435.0	166
436	436.0	179
437	437.0	208
438	438.0	180
439	439.0	190
440	440.0	192
441	441.0	191
442	442.0	177
443	443.0	205
444	444.0	180
445	445.0	173
446	446.0	154
447	447.0	194
448	448.0	191
449	449.0	186
450	450.0	178
451	451.0	200
452	452.0	184
453	453.0	177
454	454.0	196
455	455.0	181
456	456.0	183
457	457.0	189
458	458.0	175
459	459.0	184
460	460.0	162
461	461.0	190
462	462.0	185
463	463.0	168
464	464.0	165
465	465.0	183
466	466.0	180
467	467.0	193
468	468.0	198
469	469.0	165
470	470.0	180
471	471.0	180
472	472.0	178
473	473.0	184
474	474.0	174
475	475.0	171
476	476.0	193
477	477.0	183
478	478.0	166
479	479.0	187
480	480.0	163
481	481.0	163
482	482.0	163
483	483.0	154
484	484.0	178
485	485.0	178
486	486.0	177
487	487.0	169
488	488.0	178
489	489.0	169
490	490.0	188
491	491.0	182
492	492.0	171
493	493.0	185
494	494.0	172
495	495.0	191
496	496.0	164
497	497.0	190
498	498.0	178
499	499.0	189
500	500.0	181
501	501.0	183
502	502.0	186
503	503.0	170
504	504.0	171
505	505.0	186
506	506.0	159
507	507.0	184
508	508.0	150
509	509.0	162
510	510.0	177
511	511.0	166
512	512.0	158
513	513.0	193
514	514.0	157
515	515.0	168
516	516.0	183
517	517.0	166
518	518.0	155
519	519.0	173
520	520.0	182
521	521.0	166
522	522.0	175
523	523.0	189
524	524.0	188
525	525.0	193
526	526.0	166
527	527.0	178
528	528.0	183
529	529.0	184
530	530.0	180
531	531.0	157
532	532.0	192
533	533.0	182
534	534.0	171
535	535.0	194
536	536.0	205
537	537.0	192
538	538.0	185
539	539.0	175
540	540.0	167
541	541.0	172
542	542.0	180
543	543.0	175
544	544.0	146
545	545.0	164
546	546.0	192
547	547.0	192
548	548.0	184
549	549.0	177
550	550.0	179
551	551.0	167
552	552.0	174
553	553.0	167
554	554.0	172
555	555.0	180
556	556.0	171
557	557.0	164
558	558.0	169
559	559.0	202
560	560.0	162
561	561.0	195
562	562.0	183
563	563.0	185
564	564.0	158
565	565.0	181
566	566.0	184
567	567.0	192
568	568.0	160
569	569.0	174
570	570.0	186
571	571.0	158
572	572.0	171
573	573.0	186
574	574.0	181
575	575.0	177
576	576.0	163
577	577.0	172
578	578.0	152
579	579.0	195
580	580.0	171
581	581.0	164
582	582.0	165
583	583.0	206
584	584.0	199
585	585.0	168
586	586.0	165
587	587.0	169
588	588.0	166
589	589.0	188
590	590.0	180
591	591.0	173
592	592.0	188
593	593.0	167
594	594.0	188
595	595.0	179
596	596.0	195
597	597.0	175
598	598.0	180
599	599.0	185
600	600.0	173
601	601.0	159
602	602.0	171
603	603.0	178
604	604.0	198
605	605.0	161
606	606.0	168
607	607.0	174
608	608.0	199
609	609.0	184
610	610.0	171
611	611.0	179
612	612.0	186
613	613.0	159
614	614.0	170
615	615.0	191
616	616.0	158
617	617.0	194
618	618.0	176
619	619.0	165
620	620.0	179
621	621.0	171
622	622.0	182
623	623.0	171
624	624.0	182
625	625.0	172
626	626.0	176
627	627.0	175
628	628.0	174
629	629.0	187
630	630.0	171
631	631.0	175
632	632.0	175
633	633.0	155
634	634.0	154
635	635.0	181
636	636.0	182
637	637.0	169
638	638.0	156
639	639.0	179
640	640.0	161
641	641.0	154
642	642.0	181
643	643.0	188
