Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	4096
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	4191
Lower Discriminator:	54
Calibration Coefficients:	2.2342600404810295E-8	3.3189159936103634E-4	0.056015498354152066
Calibration Channels:	1266	3054	1952
Calibration Energies:	0.512	1.278	0.789
Elapsed Real Time:	178.89
Elapsed Live Time:	120.54
Start Time:	April 09, 2026, 03:28:57
End Time:	April 09, 2026, 03:31:56
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	1
1	1.0	1
2	2.0	1
3	3.0	1
4	4.0	6
5	5.0	7
6	6.0	6
7	7.0	6
8	8.0	10
9	9.0	13
10	10.0	30
11	11.0	29
12	12.0	31
13	13.0	38
14	14.0	72
15	15.0	113
16	16.0	151
17	17.0	126
18	18.0	153
19	19.0	139
20	20.0	155
21	21.0	186
22	22.0	223
23	23.0	288
24	24.0	377
25	25.0	432
26	26.0	609
27	27.0	1129
28	28.0	2440
29	29.0	4675
30	30.0	7199
31	31.0	10578
32	32.0	18062
33	33.0	33547
34	34.0	47804
35	35.0	44195
36	36.0	52099
37	37.0	66936
38	38.0	52268
39	39.0	20868
40	40.0	6231
41	41.0	1867
42	42.0	565
43	43.0	208
44	44.0	148
45	45.0	168
46	46.0	178
47	47.0	152
48	48.0	168
49	49.0	149
50	50.0	192
51	51.0	208
52	52.0	245
53	53.0	247
54	54.0	225
55	55.0	246
56	56.0	204
57	57.0	196
58	58.0	202
59	59.0	191
60	60.0	206
61	61.0	205
62	62.0	150
63	63.0	150
64	64.0	146
65	65.0	145
66	66.0	134
67	67.0	152
68	68.0	146
69	69.0	152
70	70.0	141
71	71.0	173
72	72.0	129
73	73.0	111
74	74.0	126
75	75.0	130
76	76.0	136
77	77.0	111
78	78.0	139
79	79.0	134
80	80.0	121
81	81.0	125
82	82.0	108
83	83.0	109
84	84.0	142
85	85.0	135
86	86.0	177
87	87.0	169
88	88.0	155
89	89.0	163
90	90.0	124
91	91.0	156
92	92.0	131
93	93.0	156
94	94.0	127
95	95.0	141
96	96.0	154
97	97.0	174
98	98.0	157
99	99.0	167
100	100.0	187
101	101.0	218
102	102.0	184
103	103.0	181
104	104.0	200
105	105.0	184
106	106.0	233
