Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	4096
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	4191
Lower Discriminator:	54
Calibration Coefficients:	2.2342600404810295E-8	3.3189159936103634E-4	0.056015498354152066
Calibration Channels:	1266	3054	1952
Calibration Energies:	0.512	1.278	0.789
Elapsed Real Time:	424235.87
Elapsed Live Time:	417541.52
Start Time:	April 09, 2026, 04:38:11
End Time:	April 09, 2026, 04:28:22
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	20
1	1.0	3
2	2.0	5
3	3.0	8
4	4.0	13
5	5.0	22
6	6.0	20
7	7.0	65
8	8.0	86
9	9.0	107
10	10.0	140
11	11.0	185
12	12.0	393
13	13.0	2941
14	14.0	25945
15	15.0	17252
16	16.0	11024
17	17.0	14625
18	18.0	9965
19	19.0	18943
20	20.0	10425
21	21.0	17460
22	22.0	23162
23	23.0	27252
24	24.0	33692
25	25.0	39196
26	26.0	49898
27	27.0	103010
28	28.0	379211
29	29.0	239014
30	30.0	320986
31	31.0	443175
32	32.0	1944302
33	33.0	11588954
34	34.0	5532768
35	35.0	3347630
36	36.0	3559125
37	37.0	5417274
38	38.0	2008115
39	39.0	919403
40	40.0	117470
41	41.0	44125
42	42.0	33331
43	43.0	33781
44	44.0	35080
45	45.0	37428
46	46.0	39353
47	47.0	41066
48	48.0	43431
49	49.0	45506
50	50.0	47342
51	51.0	49376
52	52.0	50830
53	53.0	51943
54	54.0	54568
55	55.0	56386
56	56.0	55938
57	57.0	52466
58	58.0	48028
59	59.0	44640
60	60.0	41064
61	61.0	38138
62	62.0	35250
63	63.0	31298
64	64.0	31529
65	65.0	29814
66	66.0	29103
67	67.0	28614
68	68.0	27733
69	69.0	27760
70	70.0	27404
71	71.0	27863
72	72.0	29630
73	73.0	31067
74	74.0	30947
75	75.0	29564
76	76.0	28909
77	77.0	28373
78	78.0	28011
79	79.0	28529
80	80.0	28467
81	81.0	28865
82	82.0	28701
83	83.0	29176
84	84.0	29464
85	85.0	29461
86	86.0	29524
87	87.0	29955
88	88.0	30179
89	89.0	32567
90	90.0	33421
