Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	4096
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	4191
Lower Discriminator:	54
Calibration Coefficients:	2.2342600404810295E-8	3.3189159936103634E-4	0.056015498354152066
Calibration Channels:	1266	3054	1952
Calibration Energies:	0.512	1.278	0.789
Elapsed Real Time:	79173.9
Elapsed Live Time:	78728.41
Start Time:	April 28, 2026, 02:06:26
End Time:	April 29, 2026, 12:06:00
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	1
1	1.0	1
2	2.0	0
3	3.0	2
4	4.0	0
5	5.0	1
6	6.0	2
7	7.0	2
8	8.0	3
9	9.0	3
10	10.0	7
11	11.0	5
12	12.0	10
13	13.0	68
14	14.0	1154
15	15.0	1297
16	16.0	952
17	17.0	618
18	18.0	836
19	19.0	924
20	20.0	957
21	21.0	802
22	22.0	1364
23	23.0	1881
24	24.0	1935
25	25.0	2587
26	26.0	3703
27	27.0	10382
28	28.0	22084
29	29.0	14192
30	30.0	19602
31	31.0	24772
32	32.0	198760
33	33.0	472631
34	34.0	146552
35	35.0	121119
36	36.0	107331
37	37.0	80792
38	38.0	38961
39	39.0	18745
40	40.0	9589
41	41.0	3770
42	42.0	3275
43	43.0	3456
44	44.0	3552
45	45.0	3859
46	46.0	4083
47	47.0	4395
48	48.0	4735
49	49.0	4970
50	50.0	5126
51	51.0	5325
52	52.0	5429
53	53.0	5592
54	54.0	5782
55	55.0	5893
56	56.0	5881
57	57.0	5462
58	58.0	5204
59	59.0	4763
60	60.0	4560
61	61.0	4039
62	62.0	3977
63	63.0	3488
64	64.0	3431
65	65.0	3308
66	66.0	3177
67	67.0	3017
68	68.0	3126
69	69.0	3150
70	70.0	3066
71	71.0	3191
72	72.0	3213
73	73.0	3262
74	74.0	3055
75	75.0	3184
76	76.0	3125
77	77.0	3143
78	78.0	3189
79	79.0	3213
80	80.0	3214
81	81.0	3241
82	82.0	3228
83	83.0	3236
84	84.0	3148
85	85.0	3330
86	86.0	3398
87	87.0	3429
88	88.0	3494
89	89.0	3573
90	90.0	3463
91	91.0	3440
92	92.0	3520
93	93.0	3486
94	94.0	3409
95	95.0	3458
96	96.0	3542
97	97.0	3559
98	98.0	3518
