Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	4096
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	4191
Lower Discriminator:	54
Calibration Coefficients:	2.2342600404810295E-8	3.3189159936103634E-4	0.056015498354152066
Calibration Channels:	1266	3054	1952
Calibration Energies:	0.512	1.278	0.789
Elapsed Real Time:	162577.22
Elapsed Live Time:	161551.04
Start Time:	April 21, 2026, 04:34:49
End Time:	April 23, 2026, 01:44:27
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	0
1	1.0	0
2	2.0	0
3	3.0	0
4	4.0	2
5	5.0	1
6	6.0	1
7	7.0	2
8	8.0	6
9	9.0	5
10	10.0	6
11	11.0	13
12	12.0	41
13	13.0	664
14	14.0	4260
15	15.0	2631
16	16.0	2496
17	17.0	2042
18	18.0	2085
19	19.0	2852
20	20.0	2550
21	21.0	2387
22	22.0	3988
23	23.0	4413
24	24.0	5639
25	25.0	6456
26	26.0	8150
27	27.0	19760
28	28.0	63118
29	29.0	35962
30	30.0	49193
31	31.0	60744
32	32.0	235309
33	33.0	1318589
34	34.0	422015
35	35.0	302606
36	36.0	299137
37	37.0	182906
38	38.0	101861
39	39.0	50045
40	40.0	29261
41	41.0	8183
42	42.0	3263
43	43.0	2794
44	44.0	2945
45	45.0	3007
46	46.0	3193
47	47.0	3368
48	48.0	3491
49	49.0	3610
50	50.0	3783
51	51.0	3819
52	52.0	3928
53	53.0	4066
54	54.0	4259
55	55.0	4631
56	56.0	4652
57	57.0	4201
58	58.0	3831
59	59.0	3519
60	60.0	3323
61	61.0	2963
62	62.0	2721
63	63.0	2455
64	64.0	2378
65	65.0	2257
66	66.0	2221
67	67.0	2229
68	68.0	2196
69	69.0	2122
70	70.0	2017
71	71.0	2197
72	72.0	2407
73	73.0	2621
74	74.0	2630
75	75.0	2509
76	76.0	2177
77	77.0	2210
78	78.0	2212
79	79.0	2179
80	80.0	2268
81	81.0	2265
82	82.0	2257
83	83.0	2306
84	84.0	2230
85	85.0	2291
86	86.0	2357
87	87.0	2400
88	88.0	2569
89	89.0	2884
90	90.0	3062
91	91.0	2912
92	92.0	2822
93	93.0	2698
94	94.0	2611
95	95.0	2712
96	96.0	2728
97	97.0	2850
98	98.0	2809
99	99.0	2766
100	100.0	2913
101	101.0	3083
102	102.0	3176
103	103.0	3432
104	104.0	3211
105	105.0	3265
106	106.0	3097
107	107.0	3074
108	108.0	3407
109	109.0	3613
110	110.0	3936
111	111.0	4174
112	112.0	4718
113	113.0	5117
114	114.0	5523
115	115.0	6428
116	116.0	10370
117	117.0	20929
118	118.0	34866
119	119.0	43482
120	120.0	41140
121	121.0	35477
122	122.0	27930
123	123.0	18466
124	124.0	8808
125	125.0	4430
126	126.0	3346
127	127.0	3192
128	128.0	3405
129	129.0	3327
130	130.0	3369
131	131.0	3325
132	132.0	3374
133	133.0	3360
134	134.0	3251
135	135.0	3399
136	136.0	3381
137	137.0	3359
138	138.0	3369
139	139.0	3337
140	140.0	3355
141	141.0	3380
142	142.0	3499
143	143.0	3389
144	144.0	3456
145	145.0	3402
146	146.0	3428
147	147.0	3423
148	148.0	3564
149	149.0	3394
150	150.0	3389
151	151.0	3437
152	152.0	3452
153	153.0	3472
154	154.0	3499
155	155.0	3385
156	156.0	3417
157	157.0	3376
158	158.0	3484
159	159.0	3453
160	160.0	3595
161	161.0	3405
162	162.0	3478
163	163.0	3418
164	164.0	3545
165	165.0	3548
166	166.0	3551
167	167.0	3591
168	168.0	3554
169	169.0	3449
170	170.0	3532
171	171.0	3506
172	172.0	3547
173	173.0	3681
174	174.0	3516
175	175.0	3479
176	176.0	3548
177	177.0	3549
178	178.0	3603
179	179.0	3698
180	180.0	3581
181	181.0	3665
182	182.0	3580
183	183.0	3598
184	184.0	3734
185	185.0	3520
186	186.0	3689
187	187.0	3703
188	188.0	3709
189	189.0	3740
190	190.0	3826
191	191.0	3618
192	192.0	3819
193	193.0	3901
194	194.0	3787
195	195.0	3826
196	196.0	3735
197	197.0	3846
198	198.0	3896
199	199.0	3827
200	200.0	3853
201	201.0	4125
202	202.0	3980
203	203.0	4063
204	204.0	4052
205	205.0	4121
206	206.0	4018
207	207.0	4168
208	208.0	4156
209	209.0	4095
210	210.0	4098
211	211.0	4229
212	212.0	4312
213	213.0	4284
214	214.0	4207
215	215.0	4448
216	216.0	4321
217	217.0	4389
218	218.0	4381
219	219.0	4438
220	220.0	4497
221	221.0	4381
222	222.0	4524
223	223.0	4478
224	224.0	4472
225	225.0	4568
226	226.0	4560
227	227.0	4715
228	228.0	4719
229	229.0	4824
230	230.0	4668
231	231.0	4583
232	232.0	4702
233	233.0	4821
234	234.0	4839
235	235.0	4907
236	236.0	4845
237	237.0	4713
238	238.0	4783
239	239.0	4865
240	240.0	4940
241	241.0	4867
242	242.0	4901
243	243.0	4945
244	244.0	4968
245	245.0	5130
246	246.0	5072
247	247.0	5143
248	248.0	5049
249	249.0	5151
250	250.0	5017
251	251.0	5099
252	252.0	5118
253	253.0	5228
254	254.0	5264
255	255.0	5021
256	256.0	5260
257	257.0	5299
258	258.0	5415
259	259.0	5319
260	260.0	5406
261	261.0	5445
262	262.0	5471
263	263.0	5511
264	264.0	5561
265	265.0	5524
266	266.0	5518
267	267.0	5617
268	268.0	5688
269	269.0	5759
270	270.0	5705
271	271.0	5632
272	272.0	5792
273	273.0	5850
274	274.0	5949
275	275.0	6044
276	276.0	5993
277	277.0	6083
278	278.0	6211
279	279.0	6246
280	280.0	6289
281	281.0	6287
282	282.0	6211
283	283.0	6490
284	284.0	6347
285	285.0	6541
286	286.0	6497
287	287.0	6431
288	288.0	6600
289	289.0	6746
290	290.0	6688
291	291.0	6702
292	292.0	6898
293	293.0	6918
294	294.0	6930
295	295.0	6895
296	296.0	7028
297	297.0	7051
298	298.0	7230
299	299.0	7194
300	300.0	7382
301	301.0	7399
302	302.0	7407
303	303.0	7260
304	304.0	7514
305	305.0	7460
306	306.0	7654
307	307.0	7871
308	308.0	7778
309	309.0	7672
310	310.0	7769
311	311.0	8087
312	312.0	7882
313	313.0	7924
314	314.0	8055
315	315.0	8192
316	316.0	8063
317	317.0	8119
318	318.0	8101
319	319.0	8138
320	320.0	8421
321	321.0	8300
322	322.0	8463
323	323.0	8656
324	324.0	8747
325	325.0	8667
326	326.0	8809
327	327.0	8732
328	328.0	8820
329	329.0	8941
330	330.0	8989
331	331.0	8990
332	332.0	9060
333	333.0	9294
334	334.0	9110
335	335.0	8966
336	336.0	9261
337	337.0	9364
338	338.0	9404
339	339.0	9467
340	340.0	9500
341	341.0	9690
342	342.0	9784
343	343.0	9814
344	344.0	9944
345	345.0	9948
346	346.0	10152
347	347.0	9977
348	348.0	10227
349	349.0	10235
350	350.0	10423
351	351.0	10218
352	352.0	10609
353	353.0	10577
354	354.0	10870
355	355.0	10693
356	356.0	10683
357	357.0	11246
358	358.0	11072
359	359.0	11140
360	360.0	11178
361	361.0	11417
362	362.0	11438
363	363.0	11441
364	364.0	11630
365	365.0	11859
366	366.0	11822
367	367.0	11630
368	368.0	12116
369	369.0	12272
370	370.0	12442
371	371.0	12462
372	372.0	12502
373	373.0	12905
374	374.0	12816
375	375.0	12986
376	376.0	12920
377	377.0	13292
378	378.0	12983
379	379.0	13375
380	380.0	13249
381	381.0	13597
382	382.0	13288
383	383.0	13534
384	384.0	13576
385	385.0	13914
386	386.0	13818
387	387.0	13868
388	388.0	13858
389	389.0	14008
390	390.0	13965
391	391.0	14139
392	392.0	14229
393	393.0	14273
394	394.0	14293
395	395.0	14203
396	396.0	14223
397	397.0	14547
398	398.0	14520
399	399.0	14480
400	400.0	14598
401	401.0	14467
402	402.0	14370
403	403.0	14552
404	404.0	14284
405	405.0	14632
406	406.0	14430
407	407.0	14558
408	408.0	14410
409	409.0	14596
410	410.0	14429
411	411.0	14481
412	412.0	14109
413	413.0	14471
414	414.0	14137
415	415.0	14084
416	416.0	14251
417	417.0	14523
418	418.0	14279
419	419.0	14358
420	420.0	13882
421	421.0	14269
422	422.0	14190
423	423.0	14159
424	424.0	14309
425	425.0	14128
426	426.0	14138
427	427.0	14151
428	428.0	14178
429	429.0	14290
430	430.0	14144
431	431.0	14103
432	432.0	14024
433	433.0	14242
434	434.0	14188
435	435.0	14194
436	436.0	14220
437	437.0	14351
438	438.0	14247
439	439.0	14306
440	440.0	14157
441	441.0	14377
442	442.0	14324
443	443.0	14098
444	444.0	14320
445	445.0	14237
446	446.0	14299
447	447.0	14178
448	448.0	14143
449	449.0	14532
450	450.0	14423
451	451.0	14650
452	452.0	14544
453	453.0	14267
454	454.0	14495
455	455.0	14219
456	456.0	14543
457	457.0	14573
458	458.0	14758
459	459.0	14550
460	460.0	14723
461	461.0	14643
462	462.0	14595
463	463.0	14345
464	464.0	14415
465	465.0	14608
466	466.0	14414
467	467.0	14679
468	468.0	14444
469	469.0	14595
470	470.0	14491
471	471.0	14631
472	472.0	14227
473	473.0	14574
474	474.0	14679
475	475.0	14604
476	476.0	14340
477	477.0	14695
478	478.0	14530
479	479.0	14396
480	480.0	14302
481	481.0	14291
482	482.0	14252
483	483.0	14349
484	484.0	14485
485	485.0	14232
486	486.0	14474
487	487.0	14665
488	488.0	14334
489	489.0	14558
490	490.0	14337
491	491.0	14574
492	492.0	14299
493	493.0	14588
494	494.0	14176
495	495.0	14593
496	496.0	14134
497	497.0	14497
498	498.0	14338
499	499.0	14227
500	500.0	14344
501	501.0	14304
502	502.0	14392
503	503.0	14578
504	504.0	14080
505	505.0	14268
506	506.0	14213
507	507.0	14606
508	508.0	14057
509	509.0	14122
510	510.0	14019
511	511.0	13531
512	512.0	14462
513	513.0	14273
514	514.0	14388
515	515.0	14463
516	516.0	14266
517	517.0	14281
518	518.0	14191
519	519.0	14287
520	520.0	14481
521	521.0	14319
522	522.0	14084
523	523.0	14169
524	524.0	14194
525	525.0	14353
526	526.0	14383
527	527.0	14243
528	528.0	14272
529	529.0	14214
530	530.0	14390
531	531.0	14309
532	532.0	14125
533	533.0	14553
534	534.0	14376
535	535.0	14498
536	536.0	14289
537	537.0	14494
538	538.0	14231
539	539.0	14422
540	540.0	14379
541	541.0	14535
542	542.0	14134
543	543.0	13817
544	544.0	14385
545	545.0	14361
546	546.0	14596
547	547.0	14328
548	548.0	14403
549	549.0	14718
550	550.0	14319
551	551.0	14475
552	552.0	14249
553	553.0	14582
554	554.0	14231
555	555.0	14458
556	556.0	14334
557	557.0	14362
558	558.0	14306
559	559.0	14559
560	560.0	14358
561	561.0	14607
562	562.0	14257
563	563.0	14423
564	564.0	14324
565	565.0	14207
566	566.0	14110
567	567.0	14430
568	568.0	14356
569	569.0	14456
570	570.0	14373
571	571.0	14638
572	572.0	14419
573	573.0	14408
574	574.0	14176
