Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	4096
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	4191
Lower Discriminator:	54
Calibration Coefficients:	2.2342600404810295E-8	3.3189159936103634E-4	0.056015498354152066
Calibration Channels:	1266	3054	1952
Calibration Energies:	0.512	1.278	0.789
Elapsed Real Time:	421213.52
Elapsed Live Time:	347868.51
Start Time:	April 28, 2026, 01:18:02
End Time:	April 28, 2026, 01:19:57
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	562
1	1.0	292
2	2.0	429
3	3.0	689
4	4.0	1006
5	5.0	1514
6	6.0	2709
7	7.0	5494
8	8.0	7845
9	9.0	9798
10	10.0	14145
11	11.0	24335
12	12.0	63074
13	13.0	224851
14	14.0	977625
15	15.0	1625731
16	16.0	846275
17	17.0	1282270
18	18.0	787719
19	19.0	1189585
20	20.0	1106330
21	21.0	1568095
22	22.0	1470516
23	23.0	1918709
24	24.0	2181954
25	25.0	2639499
26	26.0	3649908
27	27.0	6411616
28	28.0	667199
29	29.0	4877445
30	30.0	2820056
31	31.0	7344335
32	32.0	724441
33	33.0	13809388
34	34.0	6156719
35	35.0	7233150
36	36.0	7108021
37	37.0	473082
38	38.0	10062707
39	39.0	2722427
40	40.0	6575078
41	41.0	1645084
42	42.0	686309
43	43.0	461882
44	44.0	437110
45	45.0	453145
46	46.0	473455
47	47.0	501263
48	48.0	528602
49	49.0	550294
50	50.0	568855
51	51.0	597515
52	52.0	666924
53	53.0	797835
54	54.0	910853
55	55.0	924147
56	56.0	811427
57	57.0	737721
58	58.0	694884
59	59.0	659367
60	60.0	613433
61	61.0	577310
62	62.0	532476
63	63.0	475377
64	64.0	468022
65	65.0	438025
66	66.0	417754
67	67.0	398454
68	68.0	384143
69	69.0	376688
70	70.0	395940
71	71.0	465465
72	72.0	552943
73	73.0	575981
74	74.0	502431
75	75.0	421071
76	76.0	382219
77	77.0	363713
78	78.0	349009
79	79.0	341951
80	80.0	343139
81	81.0	342761
82	82.0	343783
83	83.0	348689
84	84.0	353599
85	85.0	360510
86	86.0	365456
87	87.0	385500
88	88.0	427740
89	89.0	507938
90	90.0	568496
91	91.0	569600
92	92.0	502586
93	93.0	446131
94	94.0	414477
95	95.0	394900
96	96.0	394826
97	97.0	394683
98	98.0	395752
99	99.0	399550
100	100.0	410994
101	101.0	431129
102	102.0	457816
103	103.0	502296
104	104.0	534704
105	105.0	533563
106	106.0	492826
107	107.0	464270
108	108.0	463537
109	109.0	499411
110	110.0	563247
111	111.0	641125
112	112.0	712303
113	113.0	809440
114	114.0	934713
115	115.0	1120980
116	116.0	1409766
117	117.0	1996773
118	118.0	3288598
119	119.0	5950239
120	120.0	9805668
121	121.0	13593596
122	122.0	14592301
123	123.0	12896461
124	124.0	10088419
125	125.0	7303499
126	126.0	4129645
127	127.0	1677431
128	128.0	693717
129	129.0	459449
130	130.0	428908
131	131.0	426836
132	132.0	426197
133	133.0	426875
134	134.0	426539
135	135.0	425387
136	136.0	426455
137	137.0	427559
138	138.0	425451
139	139.0	426257
140	140.0	425280
141	141.0	427054
142	142.0	425178
143	143.0	422977
144	144.0	425327
145	145.0	426120
146	146.0	423811
147	147.0	425627
148	148.0	424998
149	149.0	425867
150	150.0	424380
151	151.0	426362
152	152.0	423489
153	153.0	426851
154	154.0	423531
155	155.0	423862
156	156.0	423865
157	157.0	428068
158	158.0	424717
159	159.0	414867
160	160.0	426213
161	161.0	427148
162	162.0	426171
163	163.0	426301
164	164.0	427226
165	165.0	428870
166	166.0	428050
167	167.0	429579
168	168.0	429023
169	169.0	430674
170	170.0	428850
171	171.0	429936
172	172.0	430531
173	173.0	431233
174	174.0	431198
175	175.0	430667
176	176.0	430533
177	177.0	433529
178	178.0	432183
179	179.0	432918
180	180.0	433945
181	181.0	435085
182	182.0	432681
183	183.0	436028
184	184.0	434069
185	185.0	436820
186	186.0	435533
187	187.0	438026
188	188.0	435534
189	189.0	439768
190	190.0	437573
191	191.0	426675
192	192.0	436463
193	193.0	440769
194	194.0	438842
195	195.0	440652
196	196.0	440632
197	197.0	442860
198	198.0	439771
199	199.0	442177
200	200.0	441724
201	201.0	445584
202	202.0	442630
203	203.0	443401
204	204.0	443346
205	205.0	445907
206	206.0	445089
207	207.0	443268
208	208.0	447870
209	209.0	448057
210	210.0	447241
211	211.0	448160
212	212.0	448658
213	213.0	450168
214	214.0	448595
215	215.0	450656
216	216.0	448747
217	217.0	450922
218	218.0	450584
219	219.0	452123
220	220.0	451049
221	221.0	454293
222	222.0	451144
223	223.0	445154
224	224.0	450316
225	225.0	453770
226	226.0	452575
227	227.0	453428
228	228.0	452925
229	229.0	454365
230	230.0	452447
231	231.0	456119
232	232.0	452804
233	233.0	456733
234	234.0	452972
235	235.0	455111
236	236.0	451711
237	237.0	456425
238	238.0	452672
239	239.0	456086
240	240.0	452116
241	241.0	457268
242	242.0	453929
243	243.0	454943
244	244.0	453373
245	245.0	455801
246	246.0	455050
247	247.0	458808
248	248.0	451687
249	249.0	458664
250	250.0	455302
251	251.0	458663
252	252.0	453856
253	253.0	458455
254	254.0	454570
255	255.0	435769
256	256.0	462072
257	257.0	456715
258	258.0	456248
259	259.0	455973
260	260.0	459611
261	261.0	458375
262	262.0	456051
263	263.0	456440
264	264.0	458502
265	265.0	459224
266	266.0	457827
267	267.0	456168
268	268.0	459297
269	269.0	458005
270	270.0	455472
271	271.0	452401
272	272.0	461365
273	273.0	457843
274	274.0	457656
275	275.0	456718
276	276.0	457663
277	277.0	458059
278	278.0	454399
279	279.0	458036
280	280.0	455585
281	281.0	458915
282	282.0	455986
283	283.0	457540
284	284.0	455894
285	285.0	457431
286	286.0	454521
287	287.0	442656
288	288.0	458701
289	289.0	455654
290	290.0	454904
291	291.0	455384
292	292.0	456024
293	293.0	457211
294	294.0	455817
295	295.0	457529
296	296.0	456383
297	297.0	457706
298	298.0	455479
299	299.0	457074
300	300.0	456233
301	301.0	457962
302	302.0	456204
303	303.0	454761
304	304.0	454708
305	305.0	457649
306	306.0	456212
307	307.0	457641
308	308.0	457736
309	309.0	458420
310	310.0	456687
311	311.0	459916
312	312.0	457757
313	313.0	458808
314	314.0	457091
315	315.0	458371
316	316.0	457923
317	317.0	459428
318	318.0	458011
319	319.0	444435
320	320.0	458101
321	321.0	459359
322	322.0	457727
323	323.0	457753
324	324.0	459582
325	325.0	459132
326	326.0	458659
327	327.0	458885
328	328.0	459626
329	329.0	460352
330	330.0	459294
331	331.0	458881
332	332.0	459779
333	333.0	461369
334	334.0	459009
335	335.0	457677
336	336.0	459790
337	337.0	460390
338	338.0	459838
339	339.0	460251
340	340.0	459422
341	341.0	458967
342	342.0	459855
343	343.0	460484
344	344.0	458377
345	345.0	460537
346	346.0	458685
347	347.0	460554
348	348.0	459341
349	349.0	461942
350	350.0	460054
351	351.0	451546
352	352.0	458373
353	353.0	461348
354	354.0	460776
355	355.0	460101
356	356.0	460009
357	357.0	462281
358	358.0	459158
359	359.0	462569
360	360.0	460289
361	361.0	462770
362	362.0	461184
363	363.0	462552
364	364.0	459945
365	365.0	462439
366	366.0	460053
367	367.0	463072
368	368.0	459527
369	369.0	463173
370	370.0	461772
371	371.0	461537
372	372.0	460077
373	373.0	463305
374	374.0	460928
375	375.0	464720
376	376.0	459958
377	377.0	462876
378	378.0	461350
379	379.0	462160
380	380.0	459874
381	381.0	463952
382	382.0	460468
383	383.0	455420
384	384.0	455045
385	385.0	464630
386	386.0	461738
387	387.0	462978
388	388.0	461754
389	389.0	463138
390	390.0	462059
391	391.0	463439
392	392.0	462110
393	393.0	463510
394	394.0	462083
395	395.0	462766
396	396.0	460348
397	397.0	464991
398	398.0	461318
399	399.0	461147
400	400.0	461837
401	401.0	463419
402	402.0	461728
403	403.0	463483
404	404.0	461868
405	405.0	465452
406	406.0	460651
407	407.0	464504
408	408.0	461141
409	409.0	463133
410	410.0	461930
411	411.0	463605
412	412.0	461071
413	413.0	464021
414	414.0	462467
415	415.0	452419
416	416.0	462394
417	417.0	466102
418	418.0	462776
419	419.0	461950
420	420.0	461947
421	421.0	464788
422	422.0	460595
423	423.0	464918
424	424.0	462528
425	425.0	464905
426	426.0	461687
427	427.0	465479
428	428.0	461886
429	429.0	466007
430	430.0	462716
431	431.0	463103
432	432.0	460101
433	433.0	465990
434	434.0	462709
435	435.0	464519
436	436.0	463262
437	437.0	466061
438	438.0	462210
439	439.0	466592
440	440.0	462473
441	441.0	467193
442	442.0	463737
443	443.0	467101
444	444.0	463310
445	445.0	466754
446	446.0	465255
447	447.0	457710
448	448.0	457468
449	449.0	468076
450	450.0	466907
451	451.0	467730
452	452.0	468350
453	453.0	469526
454	454.0	469197
455	455.0	470678
456	456.0	466592
457	457.0	472425
458	458.0	469491
459	459.0	471458
460	460.0	468402
461	461.0	474233
462	462.0	469730
463	463.0	472596
464	464.0	470743
465	465.0	476675
466	466.0	472748
467	467.0	477091
468	468.0	474176
469	469.0	480881
470	470.0	477700
471	471.0	482979
472	472.0	477483
473	473.0	483778
474	474.0	481203
475	475.0	486454
476	476.0	483769
477	477.0	489432
478	478.0	486534
479	479.0	484439
480	480.0	483520
481	481.0	494748
482	482.0	493040
483	483.0	495657
484	484.0	497541
485	485.0	500485
486	486.0	498614
487	487.0	505231
488	488.0	501127
489	489.0	507022
490	490.0	505587
491	491.0	511929
492	492.0	508551
493	493.0	516586
494	494.0	513338
495	495.0	521155
496	496.0	513170
497	497.0	525543
498	498.0	522360
499	499.0	527598
500	500.0	526035
501	501.0	532801
502	502.0	530207
