Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	4096
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	4191
Lower Discriminator:	54
Calibration Coefficients:	2.2342600404810295E-8	3.3189159936103634E-4	0.056015498354152066
Calibration Channels:	1266	3054	1952
Calibration Energies:	0.512	1.278	0.789
Elapsed Real Time:	82886.87
Elapsed Live Time:	47123.32
Start Time:	April 07, 2026, 04:27:21
End Time:	April 07, 2026, 04:27:16
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.0	491
1	1.0	399
2	2.0	649
3	3.0	1001
4	4.0	1604
5	5.0	2421
6	6.0	4355
7	7.0	7311
8	8.0	10073
9	9.0	12876
10	10.0	16560
11	11.0	20902
12	12.0	27786
13	13.0	39826
14	14.0	54900
15	15.0	64416
16	16.0	68367
17	17.0	71446
18	18.0	73135
19	19.0	77487
20	20.0	83725
21	21.0	96807
22	22.0	113004
23	23.0	141966
24	24.0	179352
25	25.0	242433
26	26.0	396019
27	27.0	769978
28	28.0	1522683
29	29.0	2857318
30	30.0	4542384
31	31.0	6617924
32	32.0	10632031
33	33.0	16564260
34	34.0	8483739
35	35.0	10256278
36	36.0	12071956
37	37.0	13574724
38	38.0	10939553
39	39.0	256520
40	40.0	6083527
41	41.0	1637580
42	42.0	433665
43	43.0	143067
44	44.0	81960
45	45.0	74241
46	46.0	75509
47	47.0	78833
48	48.0	81929
49	49.0	86217
50	50.0	90827
51	51.0	96357
52	52.0	101504
53	53.0	106900
54	54.0	109050
55	55.0	111113
56	56.0	110201
57	57.0	111753
58	58.0	110908
59	59.0	110792
60	60.0	109741
61	61.0	108567
62	62.0	103982
63	63.0	95514
64	64.0	96180
65	65.0	90107
66	66.0	84988
67	67.0	80482
68	68.0	77412
69	69.0	75908
70	70.0	74313
71	71.0	73241
72	72.0	71562
73	73.0	69434
74	74.0	66450
75	75.0	64710
76	76.0	63760
77	77.0	64230
78	78.0	63933
79	79.0	64630
80	80.0	65428
81	81.0	66142
82	82.0	66673
83	83.0	67610
84	84.0	68277
85	85.0	68985
86	86.0	69173
87	87.0	71224
88	88.0	71802
89	89.0	73600
90	90.0	73728
91	91.0	73592
92	92.0	72747
93	93.0	73768
94	94.0	73300
95	95.0	72338
96	96.0	74503
97	97.0	76647
98	98.0	77317
99	99.0	79466
100	100.0	81960
101	101.0	83975
102	102.0	85260
103	103.0	88175
104	104.0	89482
105	105.0	90965
106	106.0	93200
107	107.0	96364
108	108.0	100785
109	109.0	105781
110	110.0	112402
111	111.0	123258
112	112.0	137545
113	113.0	161720
114	114.0	194289
115	115.0	245073
116	116.0	319732
117	117.0	426230
118	118.0	547711
119	119.0	658692
120	120.0	711009
121	121.0	708275
122	122.0	638012
123	123.0	533999
124	124.0	413567
125	125.0	318173
126	126.0	261719
127	127.0	235630
128	128.0	247863
129	129.0	257945
130	130.0	274143
131	131.0	291945
132	132.0	313399
133	133.0	337515
134	134.0	360359
135	135.0	386560
136	136.0	413479
137	137.0	441485
138	138.0	468379
139	139.0	498687
140	140.0	527489
141	141.0	560683
142	142.0	588790
143	143.0	616945
144	144.0	651180
145	145.0	681610
146	146.0	706373
147	147.0	737236
148	148.0	760883
149	149.0	790396
150	150.0	807273
151	151.0	830133
152	152.0	844438
